,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,new_deaths_log,new_cases_log
387,11871390.0,90570.0,72572.857,290314.0,2815.0,2172.714,55849.751,426.093,341.42400000000004,1365.8020000000001,13.243,10.222000000000001,1.07,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.449478399187365,4.95698436774276
388,11950459.0,79069.0,72985.857,292752.0,2438.0,2235.714,56221.736,371.985,343.36699999999996,1377.271,11.47,10.517999999999999,1.06,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.387033701282363,4.8980062462310645
389,11998233.0,47774.0,73551.857,294042.0,1290.0,2259.0,56446.492,224.75599999999997,346.03,1383.34,6.069,10.628,1.06,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.110589710299249,4.679191605218894
390,12047526.0,49293.0,75416.714,295425.0,1383.0,2305.571,56678.394,231.90200000000002,354.80300000000005,1389.8470000000002,6.506,10.847000000000001,1.05,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1408221801093106,4.69278525036811
391,12130019.0,82493.0,75212.0,298676.0,3251.0,2364.143,57066.488,388.094,353.84,1405.141,15.295,11.122,1.04,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5120169694961265,4.916417097757768
392,12220011.0,89992.0,75167.571,300685.0,2009.0,2272.857,57489.862,423.37300000000005,353.631,1414.5929999999998,9.451,10.693,1.04,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.3029799367482493,4.954203903769545
393,12320169.0,100158.0,77049.857,303462.0,2777.0,2280.429,57961.062000000005,471.2,362.486,1427.6570000000002,13.065,10.728,1.03,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4435758797502576,5.000685643765356
394,12404414.0,84245.0,76146.286,307112.0,3650.0,2399.714,58357.398,396.336,358.235,1444.829,17.172,11.29,1.03,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5622928644564746,4.925544134625306
395,12490362.0,85948.0,77129.0,310550.0,3438.0,2542.571,58761.746,404.348,362.85900000000004,1461.003,16.174,11.962,1.02,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5363058723510337,4.934235775158386
396,12534688.0,44326.0,76636.429,312206.0,1656.0,2594.857,58970.280999999995,208.535,360.541,1468.7939999999999,7.791,12.208,1.01,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.219060332448861,4.646658542120288
397,12573615.0,38927.0,75155.571,313866.0,1660.0,2634.429,59153.415,183.135,353.574,1476.604,7.81,12.394,1.0,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.220108088040055,4.590250935091158
398,12658109.0,84494.0,75441.429,317646.0,3780.0,2710.0,59550.922999999995,397.50800000000004,354.91900000000004,1494.3870000000002,17.783,12.749,1.0,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.577491799837225,4.926825870376814
399,12748747.0,90638.0,75533.714,321515.0,3869.0,2975.7140000000004,59977.335999999996,426.413,355.353,1512.589,18.202,13.999,0.99,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.587598729721245,4.957310313905795
400,12839844.0,91097.0,74239.286,325284.0,3769.0,3117.429,60405.907999999996,428.57199999999995,349.264,1530.32,17.732,14.665999999999999,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5762261374496047,4.959504075053144
401,12910082.0,70238.0,72238.286,328206.0,2922.0,3013.429,60736.347,330.439,339.85,1544.067,13.747,14.177,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.465680211598278,4.84657213670599
402,12953597.0,43515.0,66176.429,330193.0,1987.0,2806.143,60941.066,204.71900000000002,311.33099999999996,1553.415,9.347999999999999,13.202,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.298197867109815,4.638638987858346
403,12984956.0,31359.0,64324.0,331433.0,1240.0,2746.7140000000004,61088.597,147.531,302.617,1559.249,5.834,12.922,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.093421685162235,4.496362205115513
404,13013601.0,28645.0,62855.143,332752.0,1319.0,2698.0,61223.359000000004,134.762,295.70599999999996,1565.454,6.205,12.693,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1202447955463652,4.457048826585631
405,13100580.0,86979.0,63210.143,336947.0,4195.0,2757.2859999999996,61632.558,409.199,297.376,1585.19,19.736,12.972000000000001,0.99,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.622731965164719,4.939414410262193
406,13193205.0,92625.0,63494.0,340776.0,3829.0,2751.571,62068.318,435.76099999999997,298.712,1603.204,18.014,12.945,0.99,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.583085366347688,4.966728220987385
407,13279857.0,86652.0,62859.0,345025.0,4249.0,2820.143,62475.977999999996,407.66,295.724,1623.193,19.99,13.267999999999999,1.0,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.6282867310895144,4.937778591042317
408,13373174.0,93317.0,66156.0,348718.0,3693.0,2930.2859999999996,62914.994000000006,439.01599999999996,311.235,1640.567,17.374000000000002,13.786,0.99,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5673793076509788,4.969960768437313
409,13445006.0,71832.0,70201.286,351334.0,2616.0,3020.143,63252.933,337.93800000000005,330.267,1652.874,12.307,14.208,0.99,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4176377396522297,4.856317958551798
410,13482023.0,37017.0,71009.571,353137.0,1803.0,3100.571,63427.082,174.149,334.069,1661.3570000000002,8.482000000000001,14.587,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.255995726722402,4.5684012189485
411,13517808.0,35785.0,72029.571,354617.0,1480.0,3123.571,63595.435,168.35299999999998,338.86800000000005,1668.319,6.962999999999999,14.695,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1702617153949575,4.553701021549961
412,13599994.0,82186.0,71344.857,358425.0,3808.0,3068.2859999999996,63982.084,386.65,335.647,1686.234,17.915,14.435,0.98,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.580696939712437,4.914797843810398
413,13673507.0,73513.0,68614.571,361884.0,3459.0,3015.429,64327.931,345.847,322.802,1702.5079999999998,16.273,14.186,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5389505620143615,4.866364146281918
414,13746681.0,73174.0,66689.143,365444.0,3560.0,2917.0,64672.183,344.25199999999995,313.744,1719.256,16.748,13.722999999999999,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5514499979728753,4.864356796053565
415,13832455.0,85774.0,65611.571,368749.0,3305.0,2861.571,65075.712999999996,403.53,308.67400000000004,1734.8039999999999,15.549000000000001,13.462,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.519171463821659,4.933355663516162
416,13900091.0,67636.0,65012.143,371678.0,2929.0,2906.2859999999996,65393.91099999999,318.198,305.85400000000004,1748.5839999999998,13.78,13.673,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4667193716815987,4.830177915464808
417,13943071.0,42980.0,65864.0,373335.0,1657.0,2885.429,65596.113,202.202,309.862,1756.38,7.795,13.575,0.97,70.83,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.219322508419337,4.633266411155424
418,13973695.0,30624.0,65126.71400000001,374682.0,1347.0,2866.429,65740.186,144.07299999999998,306.393,1762.717,6.337000000000001,13.485,0.96,63.43,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.129367595722986,4.48606191609675
419,14043076.0,69381.0,63297.429000000004,378003.0,3321.0,2796.857,66066.593,326.408,297.78700000000003,1778.34,15.624,13.158,0.96,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.5212688755983854,4.841240555110424
420,14122795.0,79719.0,64184.0,381475.0,3472.0,2798.7140000000004,66441.637,375.043,301.95799999999997,1794.675,16.334,13.167,0.96,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.540579716504454,4.9015618422461396
421,14167973.0,45178.0,60184.570999999996,383502.0,2027.0,2579.714,66654.179,212.543,283.142,1804.211,9.536,12.136,0.96,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.3068537486930087,4.654927001082143
422,14237078.0,69105.0,57803.28599999999,386416.0,2914.0,2523.857,66979.289,325.10900000000004,271.939,1817.92,13.709000000000001,11.874,0.96,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4644895474339714,4.839509471308361
423,14308215.0,71137.0,58303.429000000004,389492.0,3076.0,2544.857,67313.957,334.66900000000004,274.29200000000003,1832.391,14.470999999999998,11.972000000000001,0.97,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.4879863311293935,4.852095546105342
